MUNICIPALITY,INHABITANTS
Alken,Alkenaars
Antwerpen,Antwerpenaars
Balen,Balenaars
Beringen,Beringenaars
Bierbeek,Bierbeekenaars
Bilzen,Bilzenaars
Bocholt,Bocholtenaars
Boom,Boomenaars
Bree,Breeënaren
Deinze,Deinzenaars
Dentergem,Dentergemnaars
Geel,Geelenaars
Genk,Genkenaren
Gent,Gentenaars
Hamont-Achel,Hamont-Achelaars
Hasselt,Hasselaren
Hechtel-Eksel,Hechtel-Ekselnaren
Hemiksem,Hemiksemmenaars
Herk-de-Stad,Herkenaars
Heusden-Zolder,Heusden-Zoldernaren
Houthalen-Helchteren,Houthalen-Helchterenaren
Ichtegem,Ichtegemnaars
Koekelare,Koekelarenaars
Leopoldsburg,Leopoldsburgers
Lier,Lierenaars
Lievegem,Lievegemenaars
Lokeren,Lokeraars
Lommel,Lommelaars
Meerhout,Meerhoutenaars
Mol,Mollenaars
Nijlen,Nijlenaars
Olen,Olenaars
Oudenaarde,Oudenaardenaars
Oudenburg,Oudenburgers
Oudsbergen,Oudsbergenaren
Peer,Perenaars
Pelt,Peltenaren
Ronse,Ronsenaars
Schoten,Schotenaars
Sint-Katelijne-Waver,Sint-Katelijnenaars
Tongeren,Tongerenaren
Torhout,Torhoutenaars
Turnhout,Turnhoutenaars
Wellen,Wellenaars
Wervik,Wervikanen
Wetteren,Wetteraars
Zoersel,Zoerselaars
Zonhoven,Zonhovenaars
Zottegem,Zottegemnaars
