NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11005,M,0-9,0,0,1287,0,0,Boom,Antwerpen,Vlaams Gewest,RupeLaar
11022,V,80-89,1,1,602,366,93,Kalmthout,Antwerpen,Vlaams Gewest,Noorderkempen
11005,V,10-19,1,0,192,4,10,Boom,Antwerpen,Vlaams Gewest,RupeLaar
11025,M,40-49,1,0,506,25,14,Lint,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
23098,M,60-69,1,0,147,2,9,Drogenbos,Vlaams-Brabant,Vlaams Gewest,Zennevallei
23104,M,60-69,1,0,335,14,21,Lennik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
13001,M,60-69,1,0,421,12,9,Arendonk,Antwerpen,Vlaams Gewest,Kempenland
11023,M,20-29,1,0,1393,28,33,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
11044,V,10-19,0,0,819,0,1,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11039,M,70-79,1,1,1014,76,34,Schilde,Antwerpen,Vlaams Gewest,Voorkempen
11056,V,0-9,0,0,1043,0,0,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland
11023,V,70-79,1,1,1485,97,65,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
13004,M,0-9,0,0,995,0,0,Beerse,Antwerpen,Vlaams Gewest,Kempenland
13044,M,60-69,1,0,342,7,12,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen
24135,V,80-89,1,1,300,131,32,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest,Demerland
42008,V,50-59,1,0,1697,138,184,Hamme,Oost-Vlaanderen,Vlaams Gewest,Dender
12040,V,10-19,0,0,1342,0,1,Willebroek,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
12035,M,20-29,1,0,1165,39,38,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest,Mechelen - Katelijne
24038,V,60-69,1,1,601,41,35,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23099,M,80-89,1,1,237,115,11,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
46003,M,50-59,1,0,3608,80,87,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
11009,V,20-29,1,0,1623,124,163,Brecht,Antwerpen,Vlaams Gewest,Voorkempen
11022,M,10-19,1,0,203,0,2,Kalmthout,Antwerpen,Vlaams Gewest,Noorderkempen
13023,V,60-69,1,1,250,11,13,Merksplas,Antwerpen,Vlaams Gewest,Kempenland
11040,M,0-9,0,0,1813,0,0,Schoten,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11039,V,40-49,1,0,1276,88,78,Schilde,Antwerpen,Vlaams Gewest,Voorkempen
23052,M,0-9,0,0,935,0,0,Merchtem,Vlaams-Brabant,Vlaams Gewest,AMALO
23094,M,20-29,1,0,2074,51,39,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
13053,M,60-69,1,0,544,10,10,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen
11030,M,10-19,0,0,538,0,1,Niel,Antwerpen,Vlaams Gewest,RupeLaar
37012,M,80-89,1,1,132,86,14,Ruiselede,West-Vlaanderen,Vlaams Gewest,RITS
12040,V,10-19,1,0,272,2,10,Willebroek,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
23023,M,40-49,1,0,627,28,12,Galmaarden,Vlaams-Brabant,Vlaams Gewest,Pajottenland
23024,M,0-9,0,0,479,0,0,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
23032,V,90-100+,1,1,56,29,30,Herne,Vlaams-Brabant,Vlaams Gewest,Pajottenland
24048,M,50-59,1,0,1029,23,38,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
24028,M,50-59,1,0,516,8,11,Geetbets,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
33041,V,80-89,1,1,120,72,13,Vleteren,West-Vlaanderen,Vlaams Gewest,Westhoek
34003,M,20-29,1,0,593,19,14,Avelgem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
37017,V,70-79,1,1,384,33,15,Wielsbeke,West-Vlaanderen,Vlaams Gewest,Regio Waregem
41034,M,30-39,1,0,1110,45,23,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
42003,M,20-29,1,0,738,27,12,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender
42004,V,10-19,1,0,137,1,8,Buggenhout,Oost-Vlaanderen,Vlaams Gewest,Dender
23064,V,0-9,0,0,215,0,0,Pepingen,Vlaams-Brabant,Vlaams Gewest,Zennevallei
34041,V,70-79,1,1,1520,136,63,Wevelgem,West-Vlaanderen,Vlaams Gewest,Regio Menen
36015,M,50-59,1,0,4395,107,170,Roeselare,West-Vlaanderen,Vlaams Gewest,Midden WVL
71069,M,50-59,1,0,814,16,7,Ham,Limburg,Vlaams Gewest,West-Limburg
32011,V,20-29,1,0,769,90,97,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
45041,M,10-19,1,0,305,1,3,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
45041,M,80-89,1,1,499,330,30,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
11056,M,0-9,0,0,1048,0,0,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland
35014,M,80-89,1,1,239,163,17,Oudenburg,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
42011,M,60-69,1,1,482,6,11,Lebbeke,Oost-Vlaanderen,Vlaams Gewest,Dender
73042,M,50-59,1,0,2158,65,78,Lanaken,Limburg,Vlaams Gewest,Maasland
44064,M,30-39,1,0,346,12,15,Sint-Martens-Latem,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
11050,M,10-19,0,0,422,0,0,Wijnegem,Antwerpen,Vlaams Gewest,Voorkempen
23077,V,80-89,1,1,989,559,100,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest,Zennevallei
24043,V,60-69,1,0,329,16,59,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
11057,M,60-69,1,1,492,17,21,Malle,Antwerpen,Vlaams Gewest,Voorkempen
13037,V,70-79,1,1,504,11,26,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland
23003,V,10-19,0,0,1317,0,2,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei
24094,M,50-59,1,0,1324,51,54,Rotselaar,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
12007,M,10-19,0,0,987,0,0,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
