NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,PARTLY_VACCINATED_JJ_AMT
11001,M,90-100+,1,1,44,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar,19,41,0,31,19,10,0,0,0,0
11007,M,10-19,1,0,105,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,1,1,0,1,1,0,0,0,0,0
11008,M,10-19,0,0,1588,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen,0,0,0,0,0,0,0,0,0,0
11023,V,40-49,1,0,1680,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,122,146,0,132,106,14,16,0,0,0
11052,M,90-100+,1,1,46,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,16,22,0,15,16,0,0,7,0,0
24007,V,0-9,0,0,449,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland,0,0,0,0,0,0,0,0,0,0
23025,V,60-69,1,0,1174,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,103,56,0,32,95,15,8,9,0,0
12041,V,40-49,1,0,1716,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,220,168,0,130,195,35,25,3,0,0
13014,M,60-69,1,0,755,Hoogstraten,Antwerpen,Vlaams Gewest,Kempenland,18,15,0,5,18,10,0,0,0,0
13044,M,20-29,1,0,421,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen,12,10,0,8,11,2,1,0,0,0
23025,V,60-69,1,1,1042,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,56,44,0,28,56,13,0,3,0,0
11055,M,40-49,1,0,1317,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen,39,52,0,28,36,12,3,12,0,0
23025,M,40-49,1,0,2457,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,62,66,0,44,57,13,5,9,0,0
23062,V,30-39,1,0,1411,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,89,118,0,94,82,24,7,0,0,0
24020,M,60-69,1,1,736,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland,25,45,0,14,25,30,0,1,0,0
24028,V,60-69,1,1,173,Geetbets,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,8,3,0,1,8,1,0,1,0,0
13014,M,80-89,1,1,425,Hoogstraten,Antwerpen,Vlaams Gewest,Kempenland,30,393,0,38,30,355,0,0,0,0
23097,V,60-69,1,1,291,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland,9,13,0,10,9,3,0,0,0,0
12014,M,30-39,1,0,2572,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato,60,63,0,50,51,10,9,3,0,0
13008,M,0-9,0,0,2113,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen,0,0,0,0,0,0,0,0,0,0
23033,V,0-9,0,0,670,Hoeilaart,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,0,0,0,0,0,0,0,0,0,0
12026,M,90-100+,1,1,74,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland,23,53,0,34,23,19,0,0,0,0
12029,M,10-19,1,0,162,Putte,Antwerpen,Vlaams Gewest,Bonstato,3,1,0,0,3,1,0,0,0,0
24033,M,80-89,1,1,324,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,14,315,0,89,14,226,0,0,0,0
11054,V,50-59,1,0,1053,Zandhoven,Antwerpen,Vlaams Gewest,Voorkempen,128,78,0,60,116,18,12,0,0,0
12025,V,60-69,1,1,2135,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,80,225,0,129,79,90,1,6,0,0
13021,M,0-9,0,0,527,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,0,0,0,0,0,0,0,0,0,0
13040,M,10-19,1,0,490,Turnhout,Antwerpen,Vlaams Gewest,Kempenland,3,4,0,1,3,3,0,0,0,0
24041,M,50-59,1,0,580,Hoegaarden,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,21,21,0,16,18,5,3,0,0,0
13035,M,0-9,0,0,809,Ravels,Antwerpen,Vlaams Gewest,Kempenland,0,0,0,0,0,0,0,0,0,0
23039,V,80-89,1,1,305,Kapelle-op-den-Bos,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,59,217,0,41,59,176,0,0,0,0
23099,V,50-59,1,0,1002,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,58,83,0,62,58,20,0,1,0,0
24130,M,40-49,1,0,589,Zoutleeuw,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,18,21,0,12,14,8,4,1,0,0
