NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
71016,V,12-17,0,0,2276,Genk,Limburg,Vlaams Gewest,Kemp en Duin,383,803,1,0,348,802,7,1,27,0,0
42025,M,70-79,1,1,1024,Wetteren,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,980,6,354,3,614,3,3,0,9,0,0
71070,M,40-49,1,0,2303,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim,1670,360,117,289,1162,71,16,0,375,0,0
24107,M,40-49,1,0,2358,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,1954,203,194,181,1484,22,25,0,251,0,0
24009,M,50-59,1,0,701,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,652,22,174,19,446,3,7,0,25,0,0
34027,M,60-69,1,0,1073,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,993,11,301,8,674,2,13,1,5,0,0
72038,V,40-49,1,0,734,Hechtel-Eksel,Limburg,Vlaams Gewest,Noord-Limburg,605,48,111,36,375,12,9,0,110,0,0
38008,M,40-49,1,0,614,De Panne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,489,49,75,40,332,9,4,0,78,0,0
11005,M,30-39,1,0,1197,Boom,Antwerpen,Vlaams Gewest,RupeLaar,908,56,35,0,862,56,8,0,3,0,0
72037,M,40-49,1,0,818,Hamont-Achel,Limburg,Vlaams Gewest,Noord-Limburg,652,59,58,44,407,15,3,0,184,0,0
24086,V,12-17,0,0,417,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,72,252,0,0,59,252,1,0,12,0,0
23097,M,40-49,1,0,778,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland,669,36,52,27,452,9,4,0,161,0,0
44034,M,18-29,1,0,1556,Lochristi,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,975,368,34,0,704,368,9,0,228,0,0
46021,M,80-89,1,1,1521,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,1418,28,456,16,917,12,11,0,34,0,0
31040,M,40-49,1,0,1450,Zedelgem,West-Vlaanderen,Vlaams Gewest,WE40,1207,158,113,146,745,12,10,0,339,0,0
32003,V,50-59,1,0,1241,Diksmuide,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,1178,6,209,2,875,4,13,0,81,0,0
11025,M,18-29,1,0,585,Lint,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,434,98,18,1,369,97,6,0,41,0,0
31004,M,80-89,1,1,617,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust,568,13,142,8,419,5,2,0,5,0,0
13003,M,70-79,1,1,960,Balen,Antwerpen,Vlaams Gewest,Baldemore,920,13,307,6,605,7,3,0,5,0,0
42011,M,80-89,1,1,403,Lebbeke,Oost-Vlaanderen,Vlaams Gewest,Dender,380,8,55,3,317,5,1,0,7,0,0
71037,V,12-17,0,0,408,Lummen,Limburg,Vlaams Gewest,MidWestLim,64,109,0,0,63,109,0,0,1,0,0
71020,V,0-11,0,0,519,Halen,Limburg,Vlaams Gewest,MidWestLim,0,19,0,0,0,19,0,0,0,0,0
11054,M,70-79,1,1,664,Zandhoven,Antwerpen,Vlaams Gewest,Voorkempen,641,4,169,3,466,1,1,0,5,0,0
44021,V,50-59,1,0,14710,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,12828,322,2870,75,4959,66,4870,181,127,2,0
