NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,BOOSTER_AMT,POPULATION_NBR
11004,V,90-100+,1,1,Boechout,ANTWERPEN,VLAAMS GEWEST,ZORA,131,1,43,1,81,0,0,0,7,0,0,113,134
71067,V,60-69,1,1,Zutendaal,LIMBURG,VLAAMS GEWEST,Kemp en Duin,247,0,80,0,164,0,1,0,2,0,0,210,260
24135,M,40-49,1,0,Tielt,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,717,4,69,0,563,3,4,1,81,0,0,67,764
12009,M,80-89,1,1,Duffel,ANTWERPEN,VLAAMS GEWEST,Pallieterland,378,6,47,2,327,4,0,0,4,0,0,349,401
13036,V,60-69,1,1,Retie,ANTWERPEN,VLAAMS GEWEST,Baldemore,334,0,17,0,315,0,0,0,2,0,0,90,339
72041,V,5-11,0,0,Dilsen-Stokkem,LIMBURG,VLAAMS GEWEST,Maasland,69,6,0,0,69,6,0,0,0,0,0,1,783
46021,V,40-49,1,0,Sint-Niklaas,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,4567,51,617,2,3460,49,97,0,393,0,0,971,4945
24048,V,60-69,1,0,Keerbergen,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,468,0,82,0,379,0,5,0,2,0,0,187,487
44019,M,60-69,1,1,Evergem,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,886,3,254,1,614,2,13,0,5,0,0,529,918
11023,V,30-39,1,0,Kapellen,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1468,16,135,0,1297,16,31,0,5,0,0,239,1556
23050,M,12-17,0,0,Meise,VLAAMS-BRABANT,VLAAMS GEWEST,Regio Grimbergen,539,6,0,0,527,6,0,0,12,0,0,3,662
42026,V,60-69,1,0,Wichelen,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,411,0,83,0,323,0,4,0,1,0,0,119,426
11057,M,90-100+,1,1,Malle,ANTWERPEN,VLAAMS GEWEST,Voorkempen,51,1,18,1,33,0,0,0,0,0,0,42,56
32030,M,18-29,1,0,Noordschote,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,217,2,6,0,203,2,1,0,7,0,0,5,245
44021,M,60-69,1,0,Gent,OOST-VLAANDEREN,VLAAMS GEWEST,Gent,6230,40,984,4,3290,30,1836,6,105,15,0,2419,6745
73066,M,60-69,1,1,Riemst,LIMBURG,VLAAMS GEWEST,ZOLim,507,3,107,1,395,2,3,0,2,0,0,328,524
23081,M,5-11,0,0,Steenokkerzeel,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,60,7,0,0,60,7,0,0,0,0,0,0,553
44021,V,5-11,0,0,Gent,OOST-VLAANDEREN,VLAAMS GEWEST,Gent,706,177,0,0,648,177,57,0,1,0,0,0,9819
24062,V,90-100+,1,1,Leuven,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven,776,23,360,14,397,9,2,0,17,0,0,665,846
44012,M,12-17,0,0,De Pinte,OOST-VLAANDEREN,VLAAMS GEWEST,Schelde en Leie,340,5,0,0,336,5,1,0,3,0,0,5,363
13004,M,80-89,1,1,Beerse,ANTWERPEN,VLAAMS GEWEST,Kempenland,340,5,59,3,281,2,0,0,0,0,0,309,359
73083,M,80-89,1,1,Tongeren,LIMBURG,VLAAMS GEWEST,ZOLim,627,9,102,4,518,5,1,0,6,0,0,577,669
37010,M,30-39,1,0,Oostrozebeke,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,429,6,3,0,417,6,2,0,7,0,0,22,482
45068,V,12-17,0,0,Zingem,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,519,4,0,0,510,4,1,0,8,0,0,8,557
34043,M,70-79,1,1,Spiere,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Waregem,63,3,4,1,58,2,0,0,1,0,0,49,68
45068,V,30-39,1,0,Zingem,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,908,8,99,1,780,7,11,0,18,0,0,228,972
12041,V,5-11,0,0,Puurs,ANTWERPEN,VLAAMS GEWEST,Klein-Brabant Vaartland,110,7,0,0,110,7,0,0,0,0,0,1,956
71017,M,18-29,1,0,Gingelom,LIMBURG,VLAAMS GEWEST,Haspengouw,446,7,14,0,407,7,2,0,23,0,0,41,498
23081,M,60-69,1,1,Steenokkerzeel,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,273,2,28,1,238,1,5,0,2,0,0,195,281
23097,M,60-69,1,0,Roosdaal,VLAAMS-BRABANT,VLAAMS GEWEST,Pajottenland,392,0,52,0,336,0,1,0,3,0,0,156,405
45063,M,60-69,1,1,Sint-Maria-Lierde,OOST-VLAANDEREN,VLAAMS GEWEST,Panacea,210,0,46,0,160,0,1,0,3,0,0,194,219
